Year,Month,Day,Time,No,Host,Guest,HostWin,Deuce,GuestWin,HostGoal,GuestGoal,Comments
2006,6,24,15:00,49,Germany,Sweden,1.61,3.66,5.89,2,0,NRM
2006,6,24,19:00,50,Argentina,Mexico,1.36,4.27,10.18,2,1,ET
2006,6,25,15:00,51,England,Ecuador,1.49,3.86,7.37,1,0,NRM
2006,6,25,19:00,52,Portugal,Netherlands,3.12,3.07,2.44,1,0,NRM
2006,6,26,15:00,53,Italy,Australia,1.52,3.82,6.95,1,0,NRM
2006,6,26,19:00,54,Switzerland,Ukraine,2.37,3.11,3.17,0,1,PEN
2006,6,27,15:00,55,Brazil,Ghana,1.27,5.41,10.34,3,0,NRM
2006,6,27,19:00,56,Spain,France,2.37,3.01,3.21,1,3,NRM
2006,6,30,15:00,57,Germany,Argentina,2.5,3.07,2.99,2,1,PEN
2006,6,30,19:00,58,Italy,Ukraine,1.57,3.48,6.94,3,0,NRM
2006,7,1,15:00,59,England,Portugal,2.1,2.99,4,0,1,PEN
2006,7,1,19:00,60,Brazil,France,1.75,3.41,4.99,0,1,NRM
2006,7,4,19:00,61,Germany,Italy,2.46,2.89,3.27,0,2,ET
2006,7,5,19:00,62,Portugal,France,3.92,2.86,2.2,0,1,NRM
2006,7,8,19:00,63,Germany,Portugal,1.88,3.41,4.3,3,1,NRM
2006,7,9,18:00,64,Italy,France,2.54,2.81,3.24,2,1,PEN
2010,6,26,14:00,49,Uruguay,South Korea,1.84,3.34,4.9,2,1,NRM
2010,6,26,18:30,50,USA,Ghana,2.41,3.1,3.22,1,2,ET
2010,6,27,14:00,51,Germany,England,2.97,3.06,2.6,4,1,NRM
2010,6,27,18:30,52,Argentina,Mexico,1.61,3.73,6.24,3,1,NRM
2010,6,28,14:00,53,Netherlands,Slovakia,1.39,4.5,9.63,2,1,NRM
2010,6,28,18:30,54,Brazil,Chile,1.53,3.82,6.99,3,0,NRM
2010,6,29,14:00,55,Paraguay,Japan,2.2,3.17,3.6,1,0,PEN
2010,6,29,18:30,56,Spain,Portugal,2,3.23,4.19,1,0,NRM
2010,7,2,14:00,57,Netherlands,Brazil,4.1,3.28,2,2,1,NRM
2010,7,2,18:30,58,Uruguay,Ghana,1.86,3.37,4.52,2,1,PEN
2010,7,3,14:00,59,Argentina,Germany,2.32,3.29,3.19,0,4,NRM
2010,7,3,18:30,60,Paraguay,Spain,9,4.27,1.42,0,1,NRM
2010,7,6,18:30,61,Uruguay,Netherlands,5.68,3.55,1.69,2,3,NRM
2010,7,7,18:30,62,Germany,Spain,2.81,3.38,2.53,0,1,NRM
2010,7,10,18:30,63,Uruguay,Germany,3.86,3.68,1.93,2,3,NRM
2010,7,11,18:30,64,Netherlands,Spain,3.9,3.38,2.02,0,1,ET
2014,6,28,16:00,49,Brazil,Chile,1.53,4.52,6.31,2,1,PEN
2014,6,28,20:00,50,Colombia,Uruguay,2.13,3.37,3.73,2,0,NRM
2014,6,29,16:00,51,Netherlands,Mexico,2.13,3.38,3.74,2,1,NRM
2014,6,29,20:00,52,Costa Rica,Greece,2.71,3.08,2.95,2,1,PEN
2014,6,30,16:00,53,France,Nigeria,1.41,4.66,8.81,2,0,NRM
2014,6,30,20:00,54,Germany,Algeria,1.32,5.66,10.41,2,1,ET
2014,7,1,16:00,55,Argentina,Switzerland,1.57,4.16,6.46,1,0,ET
2014,7,1,20:00,56,Belgium,USA,2.02,3.41,4.08,2,1,ET
2014,7,4,16:00,57,France,Germany,2.84,3.15,2.77,0,1,NRM
2014,7,4,20:00,58,Brazil,Colombia,1.77,3.8,4.91,2,1,NRM
2014,7,5,16:00,59,Argentina,Belgium,1.99,3.4,4.24,1,0,NRM
2014,7,5,20:00,60,Netherlands,Costa Rica,1.53,4.16,7.15,1,0,PEN
2014,7,8,20:00,61,Brazil,Germany,2.65,3.21,2.93,1,7,NRM
2014,7,9,20:00,62,Netherlands,Argentina,3.07,3.23,2.54,0,1,PEN
2014,7,12,20:00,63,Brazil,Netherlands,2.16,3.71,3.36,0,3,NRM
2014,7,13,19:00,64,Germany,Argentina,2.36,3.29,3.35,1,0,ET
