Year,No,Host,Guest,Odds1,Odds2
2018,21,Denmark,Australia,2,1
2018,22,France,Peru,1,0
2018,23,Argentina,Croatia,2,1
2018,24,Brazil,Costa Rica,2,1
2018,25,Nigeria,Iceland,1,0
2018,26,Serbia,Switzerland,1,0
2018,27,Belgium,Tunisia,2,1
2018,28,South Korea,Mexico,0,2
2018,29,Germany,Sweden,1,0
2018,30,England,Panama,2,1
2018,31,Japan,Senegal,2,1
2018,32,Poland,Colombia,1,0
2018,33,Saudi Arabia,Egypt,0,2
2018,34,Uruguay,Russia,1,0
2018,35,Iran,Portugal,0,1
2018,37,Australia,Peru,1,0
2018,38,Denmark,France,0,1
2018,39,Iceland,Croatia,1,0
2018,40,Nigeria,Argentina,0,2
2018,41,Mexico,Sweden,0,1
2018,42,South Korea,Germany,0,1
2018,43,Serbia,Brazil,0,1
2018,44,Switzerland,Costa Rica,2,0
2018,45,Japan,Poland,2,1
2018,46,Senegal,Colombia,0,2
2018,47,England,Belgium,0,1
2018,48,Panama,Tunisia,2,0
2018,49,France,Argentina,0,
2018,50,Uruguay,Portugal,0,
2018,51,Spain,Russia,2,
2018,52,Croatia,Denmark,2,
2018,53,Brazil,Mexico,2,
2018,54,Belgium,Japan,2,
2018,53,Brazil,Mexico,2,
2018,54,Belgium,Japan,2,
2018,55,Sweden,Switzerland,2,
2018,56,Colombia,England,0,
2018,57,Uruguay,France,0,
2018,58,Brazil,Belgium,2,
2018,59,France,Belgium,0,
2018,60,Russia,Crotia,0
2018,61,France,Belgium,0
2018,62,Croatia,England,0
